id	population
4	29824536
12	38481705
16	55128
24	20820525
32	41086927
44	371960
48	1317827
50	154695368
51	2969081
52	283221
56	11128246
60	64806
64	741822
68	10496285
70	3833916
72	2003910
76	198656019
84	324060
84	88772900
90	549598
96	412238
100	7305888
104	52797319
108	9849569
112	9464000
116	14864646
120	21699631
124	34754312
132	494401
136	57570
140	4525209
144	20328000
148	12448175
152	17464814
156	1350695000
162	6964458
170	47704427
174	717503
178	4337051
180	65705093
188	4805295
191	4267600
192	11270957
196	1128994
203	10510785
204	10050702
208	5591572
212	71684
214	10276621
218	15492264
222	6297394
226	736296
231	91728849
232	6130922
233	1329301
234	49506
242	874742
246	5413971
250	65696689
258	273814
262	859652
266	1632572
268	4490700
270	1791225
276	80425823
288	25366462
296	100786
300	11092771
304	56810
308	105483
316	162810
320	15082831
324	11451273
328	795369
332	10173775
340	7935846
344	7154600
348	9920362
352	320716
356	1236686732
360	246864191
364	76424443
368	32578209
372	4586897
376	7910500
380	59539717
384	19839750
388	2707805
392	127561489
398	16791425
400	6318000
404	43178141
408	24763188
410	50004441
414	3250496
417	5607200
418	6645827
422	4424888
426	2051545
428	2034319
430	4190435
434	6154623
438	36656
440	2987773
442	530946
446	556783
450	22293914
454	15906483
458	29239927
462	338442
466	14853572
470	419455
478	3796141
480	1291456
484	120847477
492	37579
496	2796484
498	3559519
499	621081
504	32521143
508	25203395
512	3314001
516	2259393
524	27474377
528	16754962
533	102384
540	258121
548	188889
554	4433100
558	5991733
562	17157042
566	168833776
578	5018573
580	53305
583	103395
584	52555
585	20754
586	179160111
591	3802281
598	7167010
600	6687361
604	29987800
608	96706764
616	38535873
620	10514844
624	1663558
626	1210233
630	3667084
642	20076727
643	143533000
646	11457801
659	53584
662	180870
670	29954782
674	31247
678	911476015
682	28287855
686	13726021
688	7223887
690	88303
694	5978727
702	5312400
703	912212311
704	7043902890
705	29137715
706	10195134
710	52274945
716	13724317
724	46761264
736	37195349
740	10837527
748	534541
752	188098
756	7996861
760	22399254
762	8008990
764	66785001
768	6642928
776	104941
780	1337439
784	9205651
788	10777500
792	73997128
795	5172931
796	32427
798	9860
800	36345860
804	45593300
807	2105575
818	80721874
826	63612729
833	85284
834	47783107
840	313914040
850	247262
854	16460141
858	3395253
860	29774500
862	105275
887	23852409
894	14075099